created_at,source,target
2022-11-22 18:18:02,liberdadeaopovo,CinthiaMagal
2022-11-22 18:18:16,NatyeMew,mmichelemartins
2022-11-22 18:18:21,mukinha_samu3l,UdaJuris2022
2022-11-22 18:18:21,Tatyana96116871,aro_marcia
2022-11-22 18:18:28,liberdadeaopovo,Suzano_info
2022-11-22 18:18:35,Mrcio64127330,Danicarlasou
2022-11-22 18:18:42,Thah818223052,leojardels
2022-11-22 18:18:45,Thah818223052,clecio_tavares
2022-11-22 18:18:45,liberdadeaopovo,FelipZimmer
2022-11-22 18:19:04,Fernand6795377,MarloneBHMG
2022-11-22 18:19:07,AdrianiCaap,DCDM115
2022-11-22 18:19:09,Mrcio64127330,aro_marcia
2022-11-22 18:19:17,marianatatcher,Danicarlasou
2022-11-22 18:19:19,Fernand6795377,alexfmotta
2022-11-22 18:19:29,elibarbosa1212,_Janoninho
2022-11-22 18:19:40,nanda_md2011,CinthiaMagal
2022-11-22 18:20:05,Sandra72344197,Kaiqueporto32
2022-11-22 18:20:07,Fernand6795377,claryene
2022-11-22 18:20:12,AdrianiCaap,FelipZimmer
2022-11-22 18:20:16,marianatatcher,Suzano_info
2022-11-22 18:20:20,marianatatcher,UdaJuris2022
2022-11-22 18:20:32,LeoSant87961116,vanzuty
2022-11-22 18:20:33,Andress01675173,Wallcostajf
2022-11-22 18:20:33,alexandrarubima,_Janoninho
2022-11-22 18:20:47,JoelmaMaleoj,Danicarlasou
2022-11-22 18:20:57,MarioOl52769551,_Janoninho
2022-11-22 18:21:03,JoelmaMaleoj,Suzano_info
2022-11-22 18:21:17,SchneiderKellyC,Kaiqueporto32
2022-11-22 18:21:19,NatyeMew,John_N4varro
2022-11-22 18:21:20,Diane64072478,KaiolOof
2022-11-22 18:21:23,marianatatcher,linapaulaqueir1
2022-11-22 18:21:34,dornele6,BaraoFarias
2022-11-22 18:21:40,Diane64072478,Karinegtoledo
2022-11-22 18:21:49,JoelmaMaleoj,Kaiqueporto32
2022-11-22 18:21:55,sumidamancini,Danicarlasou
2022-11-22 18:21:58,DonizetePitondo,Elainnefaria1
2022-11-22 18:21:59,natanael14107,Rickys_Ricardo3
2022-11-22 18:22:06,nanda_md2011,John_N4varro
2022-11-22 18:22:09,Mrcio64127330,RozanaFranco
2022-11-22 18:22:11,sumidamancini,UdaJuris2022
2022-11-22 18:22:25,maranataoravemJ,BrunoCalixto22
2022-11-22 18:22:28,marianatatcher,Elainnefaria1
2022-11-22 18:22:28,Andra82467853,BrunoCalixto22
2022-11-22 18:22:34,peleperfeita,Suzano_info
2022-11-22 18:22:45,FelipeFrazaorj,John_N4varro
2022-11-22 18:23:05,AstralSandro,_Janoninho
2022-11-22 18:23:19,LianaBarbosaDe1,MarloneBHMG
2022-11-22 18:23:22,JoseRod61803783,Danicarlasou
2022-11-22 18:23:26,FlviaBe19788620,Danicarlasou
2022-11-22 18:23:37,Moraes09095330,Suzano_info
2022-11-22 18:23:45,pcemig78,LeoniceMariana1
2022-11-22 18:23:47,Fernand6795377,psy_fps
2022-11-22 18:24:03,Diane64072478,leojardels
2022-11-22 18:24:08,FlviaBe19788620,Edu210670
2022-11-22 18:24:17,Fernand6795377,BayerNany
2022-11-22 18:24:18,sumidamancini,aro_marcia
2022-11-22 18:24:21,almeida_welma,KaiolOof
2022-11-22 18:24:34,Fernand6795377,Andrisa01
2022-11-22 18:24:37,Fernand6795377,EndterPierre
2022-11-22 18:24:44,elibarbosa1212,_Janoninho
2022-11-22 18:24:45,almeida_welma,John_N4varro
2022-11-22 18:24:46,EduardofmbMD,CinthiaMagal
2022-11-22 18:24:52,Elisand70827695,UdaJuris2022
2022-11-22 18:24:53,JoelmaMaleoj,AlvesContabeis
2022-11-22 18:24:55,Elisand70827695,Luisoli21929060
2022-11-22 18:24:56,EduardofmbMD,Suzano_info
2022-11-22 18:25:08,cynthiafdlima69,CinthiaMagal
2022-11-22 18:25:08,rluiz99,UdaJuris2022
